 ,0.5,0
A,0.5,2,0.5,3.5,0.5,2,0.5,0
B,0.5,2,0.5,3.5,0.5,2,0.5,0
C,0.5,2,0.5,3.5,0.5,2,0.5,0
D,0.5,2,0.5,3.5,0.5,2,0.5,0
E,0.5,2,0.5,3.5,0.5,2,0.5,0
F,0.5,2,0.5,3.5,0.5,2,0.5,0
G,0.5,2,0.5,3.5,0.5,2,0.5,0
H,0.5,2,0.5,3.5,0.5,2,0.5,0
I,0.5,2,0.5,3.5,0.5,2,0.5,0
J,0.5,2,0.5,3.5,0.5,2,0.5,0
K,0.5,2,0.5,3.5,0.5,2,0.5,0
L,0.5,2,0.5,3.5,0.5,2,0.5,0
M,0.5,2,0.5,3.5,0.5,2,0.5,0
N,0.5,2,0.5,3.5,0.5,2,0.5,0
O,0.5,2,0.5,3.5,0.5,2,0.5,0
P,0.5,4,0.5,3.5,0.5,2,0.5,0
Q,0.5,2,0.5,3.5,0.5,2,0.5,0
R,0.5,2,0.5,3.5,0.5,2,0.5,0
S,0.5,2,0.5,3.5,0.5,2,0.5,0
T,0.5,2,0.5,3.5,0.5,2,0.5,0
U,0.5,2,0.5,3.5,0.5,2,0.5,0
V,0.5,2,0.5,3.5,0.5,2,0.5,0
W,0.5,2,0.5,3.5,0.5,2,0.5,0
X,0.5,2,0.5,3.5,0.5,2,0.5,0
Y,0.5,2,0.5,3.5,0.5,2,0.5,0
Z,0.5,2,0.5,3.5,0.5,2,0.5,0
a,0.5,2,0.5,3.8,0.5,2,0.5,0
b,0.5,2,0.5,3.5,0.5,2,0.5,0
c,0.5,2,0.5,3.5,0.5,2,0.5,0
d,0.5,2,0.5,3.5,0.5,2,0.5,0
e,0.5,2.7,0.5,3.2,0.5,2.7,0.5,0
f,0.5,4,0.5,0
g,0.5,4,0.5,2,0.5,0
h,0.5,2,0.5,3.5,0.5,2,0.5,0
i,0.5,3,0.5,3.6,0.5,2,0.5,0
j,0.5,2,0.5,3.5,0.5,2,0.5,0
k,0.5,2,0.5,3.5,0.5,2,0.5,0
l,0.5,1.5,0.5,4,0.5,2,0.5,0
m,0.5,1,0.5,3.5,0.5,2.2,0.5,3.7,0.5,2.4,0.5,3.5,0.5,2.2,0.5,0
n,0.5,2.5,0.5,3.2,0.5,2.2,0.5,3.5,0.5,2,0.5,0
o,0.5,3,0.5,3.5,0.5,0
p,0.5,4,0.5,2,0.5,0
q,0.5,2,0.5,3.5,0.5,2,0.5,0
r,0.5,2,0.5,3.5,0.5,2.8,0.5,2.2,0.5,0
s,0.5,3,0.5,3.3,0.5,0
t,0.5,2.4,0.5,4,0.5,3,0.5,0
u,0.5,3.5,0.5,1.5,0.5,3.5,0.5,0
v,0.5,2.5,0.5,3,0.5,2,0.5,0
w,0.5,2,0.5,3.5,0.5,2,0.5,0
x,0.5,2,0.5,3.5,0.5,2,0.5,0
y,0.5,3,0.5,4,0.5,2,0.5,0
z,0.5,2,0.5,3.5,0.5,2,0.5,0
0,0.5,2,0.5,3.5,0.5,2,0.5,0
1,0.5,2,0.5,3.5,0.5,2,0.5,0
2,0.5,2,0.5,3.5,0.5,2,0.5,0
3.5,0.5,2,0.5,3.5,0.5,2,0.5,0
4,0.5,2,0.5,3.5,0.5,2,0.5,0
5,0.5,2,0.5,3.5,0.5,2,0.5,0
6,0.5,2,0.5,3.5,0.5,2,0.5,0
7,0.5,2,0.5,3.5,0.5,2,0.5,0
8,0.5,2,0.5,3.5,0.5,2,0.5,0
9,0.5,2,0.5,3.5,0.5,2,0.5,0
",",0.5,2.3,0.5,0
.,0.5,2,0.5,3.50,0.5,20,0.5,0
:,0.5,2,0.5,3.50,0.5,20,0.5,0
ã,0.5,2,0.5,3.50,0.5,20,0.5,0
ẽ,0.5,2,0.5,3.50,0.5,20,0.5,0
ĩ,0.5,2,0.5,3.50,0.5,20,0.5,0
õ,0.5,2,0.5,3.50,0.5,20,0.5,0
ũ,0.5,2,0.5,3.50,0.5,20,0.5,0
➽,0.5,2,0.5,3.50,0.5,20,0.5,0
⟴,0.5,2,0.5,3.50,0.5,20,0.5,0
⌠,0.5,4,0.5,2
\,0.5,2,0.5,3.5,0.5,2,0.5,0
&,0.5,2,0.5,3.5,0.5,2,0.5,0
̃,0.5,2,0.5,3.5,0.5,2,0.5,0
ꝗ,0.5,2,0.5,3.5,0.5,2,0.5,0
ꝓ,0.5,2,0.5,3.5,0.5,2,0.5,0
ꝑ,0.5,2,0.5,3.5,0.5,2,0.5,0
-,0.5,2,0.5,3.5,0.5,2,0.5,0
